group_name;count_name
Abate;2
Acabamento;1
Administração;7
Agenciamento;3
Agente;1
Agentes;1
Agências;5
Albergues;1
Albergues,;1
Alojamento;1
Alojamento,;1
Aluguel;16
Alvejamento,;1
Aparelhamento;2
Apart-hotéis;1
Apicultura;1
Aplicação;1
Armazéns;1
Arrendamento;1
Artes;1
Associações;1
Atividade;6
Atividades;92
Auditoria;1
Banco;1
Bancos;7
Bares;3
Beneficiamento;9
Bolsa;3
Britamento;1
Cabeleireiros,;1
Caixas;3
Campings;1
Cantinas;1
Captação,;1
Carga;1
Cartórios;1
Casas;3
Caça;1
Centros;1
Chaveiros;1
Clinicas;1
Clubes;2
Clínicas;1
Coleta;8
Comercio;2
Comissaria;1
Companhias;1
Compra;1
Comércio;196
Concessionárias;1
Concessão;1
Condomínios;2
Confecção;3
Confecção,;2
Conservação;1
Construção;12
Consultoria;2
Cooperativas;3
Coquerias;1
Correspondentes;1
Corretagem;2
Corretoras;3
Corretores;1
Criação;26
Cultivo;55
Cultivos;2
Cunhagem;1
Cursos;2
Curtimento;1
Decoração,;1
Defesa;2
Demolição;1
Depósitos;1
Descontaminação;1
Desenvolvimento;4
Design;3
Discotecas,;1
Distribuidoras;1
Distribuição;4
Edição;12
Educação;7
Elaboração;1
Emissão;1
Ensino;8
Envasamento;1
Escafandria;1
Estacionamento;1
Estamparia;1
Estúdios;1
Exploração;6
Extração;34
Fabricação;287
Facção;3
Fiação;1
Filmagem;1
Formação;1
Formulação;1
Fornecimento;3
Fotocópias;1
Frigorífico;5
Fundição;2
Fundo;1
Fundos;3
Geração;2
Gestão;7
Guarda-móveis;1
Higiene;1
Holdings;2
Horticultura,;1
Hotéis;1
Impermeabilização;1
Impressão;5
Imunização;1
Incorporação;1
Instalação;7
Instalação,;1
Instalações;2
Instituições;1
Justiça;1
Laboratórios;3
Lanchonetes,;1
Lapidação;1
Lavanderias;1
Leiloeiros;1
Limpeza;1
Locação;5
Lojas;5
Loteamento;1
Manutenção;40
Marketing;1
Matadouro;2
Medição;1
Metalurgia;4
Moagem;2
Montagem;3
Motéis;1
Navegação;2
Obras;8
Operador;1
Operadoras;4
Operadores;1
Operação;1
Orfanatos;1
Organismos;1
Organização;3
Outras;20
Outros;6
Padaria;2
Parques;1
Peixaria;1
Pelotização,;1
Pensões;1
Perfuração;1
Perfurações;1
Peritos;1
Pesca;4
Pesquisa;2
Pesquisas;1
Pintura;1
Planos;2
Portais,;1
Preparação;7
Preservação;1
Previdência;2
Processamento;1
Produção;36
Programadoras;1
Promoção;1
Provedores;2
Ranicultura;1
Recarga;1
Recondicionamento;2
Recuperação;4
Refino;1
Reforma;1
Regulação;2
Relações;1
Reparação;9
Representantes;14
Representações;1
Reprodução;3
Rerrefino;1
Resseguros;1
Restaurantes;1
Restauração;2
Salas;1
Securitização;1
Segurança;1
Seguridade;1
Seleção;1
Serrarias;4
Serviço;14
Serviços;75
Sociedade;3
Sociedades;6
Suporte;1
Tabacaria;1
Tecelagem;3
Telecomunicações;1
Telefonia;1
Terminais;1
Testes;1
Tinturarias;1
Toalheiros;1
Torrefação;1
Transmissão;1
Transporte;31
Tratamento;3
Tratamentos;1
Treinamento;2
Trens;1
UTI;1
Usinas;1
Web;1
atividades;1
